,Zip Code,Total Population,Labor Force Participation Rate,Unemployment rate
0,20001,41692,73.4,5.6
1,20002,52867,72.9,6.6
2,20003,26330,71.5,5.2
3,20004,1610,88,4.3
4,20005,12311,84,2.9
5,20006,2780,42.3,9.7
6,20007,23866,73,4.5
7,20008,26034,79,2.5
8,20009,46797,83.7,4.2
9,20010,28736,79.2,5.6
10,20011,54799,69.8,7.2
11,20012,12565,67.1,8.8
12,20015,12349,68.2,4.3
13,20016,29230,64.8,4.8
14,20017,16815,65,10.5
15,20018,16617,60.7,11.3
16,20019,47261,60.2,18.4
17,20020,41842,57.3,15.7
18,20024,11342,70.8,7.1
19,20032,30806,61.9,23.3
20,20036,5653,82.8,2.2
21,20037,14362,62.7,4.1
22,20045,0,-,-
23,20052,686,41.3,18.7
24,20053,0,-,-
25,20057,3709,40.4,6.1
26,20064,2213,36.7,9
27,20105,12329,77.8,2.4
28,20106,4409,63,3.2
29,20109,30363,77.9,4.7
30,20110,37289,70.8,7.2
31,20111,26924,71.9,6
32,20112,20587,71.8,4.5
33,20115,4933,66.2,1.8
34,20117,2077,61.5,10.7
35,20118,7,71.4,0
36,20119,3808,65.2,5.8
37,20120,32330,75.3,4.5
38,20121,23070,76.1,3.8
39,20124,12879,70.1,5.4
40,20129,472,73.3,12.1
41,20130,194,51.5,0
42,20132,13120,72.6,4.8
43,20135,2511,67.7,5.8
44,20136,21299,78.6,3.9
45,20137,1241,63.3,2
46,20139,212,52.8,0
47,20141,4542,75.1,3.1
48,20143,952,62.9,1.8
49,20144,853,60.4,1.4
50,20147,47620,76.2,3.3
51,20148,31534,79.9,3
52,20151,17596,74.1,6.8
53,20152,23016,77.5,3.1
54,20155,25840,69.9,3.3
55,20158,3318,71.1,2.8
56,20164,32039,78.1,4.4
57,20165,25991,74,4
58,20166,7707,84.2,3.4
59,20169,17554,70.7,3.8
60,20170,33094,78.3,4.9
61,20171,38391,76.7,3.7
62,20175,25183,74.5,4.6
63,20176,39296,74.1,3.7
64,20180,5544,72.2,2.9
65,20181,6967,69.6,4.4
66,20184,700,65.1,4.2
67,20186,11934,64.1,3.7
68,20187,13151,66.5,4.3
69,20190,16329,72.4,2.5
70,20191,24163,74.5,5.3
71,20194,10195,76.4,4.3
72,20197,1449,71.4,10.6
73,20198,2036,65,1.5
74,20202,0,-,-
75,20204,0,-,-
76,20228,0,-,-
77,20230,0,-,-
78,20240,0,-,-
79,20245,0,-,-
80,20260,0,-,-
81,20307,168,22.6,-
82,20317,440,3.4,0
83,20319,53,100,-
84,20373,142,100,-
85,20390,540,100,-
86,20405,0,-,-
87,20418,0,-,-
88,20427,0,-,-
89,20506,0,-,-
90,20510,0,-,-
91,20520,0,-,-
92,20535,0,-,-
93,20540,0,-,-
94,20551,0,-,-
95,20553,0,-,-
96,20560,0,-,-
97,20565,0,-,-
98,20566,0,-,-
99,20593,0,-,-
100,20601,20129,72.1,3.7
101,20602,20208,70.8,5.8
102,20603,23759,74.3,3.4
103,20606,383,54.3,10.1
104,20607,8794,73.9,5.7
105,20608,673,53.5,14.2
106,20609,907,45.6,6
107,20611,1252,70.6,1.8
108,20612,422,24.6,0
109,20613,11398,70.5,5.4
110,20615,438,78.8,24.3
111,20616,4871,69.5,2.4
112,20617,615,41,8.3
113,20618,354,53.4,0
114,20619,9248,73.6,3.3
115,20620,1252,68.8,1.3
116,20621,852,59.6,5.1
117,20622,4641,53.3,3
118,20623,2599,74.1,4.9
119,20624,1062,65.6,3.3
120,20625,553,45,3.2
121,20626,279,63.8,0
122,20628,138,68.8,0
123,20629,255,51.4,0
124,20630,291,75.3,0
125,20632,310,55.2,7.6
126,20634,5710,78.1,7.9
127,20636,8660,71.1,3.7
128,20637,4333,69.3,4.1
129,20639,11651,69.5,6.9
130,20640,8283,66,7.1
131,20645,697,68.9,5.8
132,20646,16534,60.8,4.5
133,20650,11211,64,4.1
134,20653,18365,68.6,4.3
135,20657,14350,75.4,9.3
136,20658,734,69.2,12.7
137,20659,18311,68.7,2.7
138,20660,28,0,-
139,20662,2388,54.4,8.4
140,20664,2653,69.1,2.4
141,20667,618,49,5.9
142,20670,1107,76.2,5.3
143,20674,705,37,7.9
144,20675,1638,67.5,8
145,20676,3220,70.9,4.3
146,20677,2060,67.2,4.3
147,20678,10257,65.4,7.3
148,20680,648,68.4,7.9
149,20684,1486,62.8,18.5
150,20685,5449,69.2,7.2
151,20686,1532,32.4,0
152,20687,203,43.3,0
153,20688,1690,39.3,7.5
154,20689,1709,56,0.9
155,20690,723,54.6,5.6
156,20692,1009,78.4,6.2
157,20693,858,63.3,3.1
158,20695,6317,65.7,5
159,20701,0,-,-
160,20705,21848,75.2,7.2
161,20706,31739,68.7,7.5
162,20707,25750,74.4,5.8
163,20708,20220,77.8,7.1
164,20710,7104,69.3,8.1
165,20711,5421,63.7,4
166,20712,7307,79.8,8.5
167,20714,3817,71.7,13.5
168,20715,21601,67.3,5.9
169,20716,17913,74.8,6.7
170,20720,18056,78,4.5
171,20721,24592,70.4,7.5
172,20722,4609,73.6,5
173,20723,25867,78.8,5.4
174,20724,13881,80.7,5.5
175,20732,7882,74,6.7
176,20733,2295,73,2.8
177,20735,30987,69.7,6.9
178,20736,7272,69,3.6
179,20737,16153,73.7,5.7
180,20740,28596,62.8,6.1
181,20742,6613,20.6,1
182,20743,31655,68.8,11.4
183,20744,45988,68.1,9.2
184,20745,23099,73.7,10.4
185,20746,21977,72.3,7.6
186,20747,30659,74.1,9.9
187,20748,31489,69.6,9.4
188,20751,2012,72.9,4.2
189,20754,5603,65.8,6.1
190,20755,6904,71.1,10.4
191,20758,420,68.8,3.2
192,20759,3575,67.7,3
193,20762,1870,76.6,2.5
194,20763,1731,73.4,12.6
195,20764,3353,68.2,6.1
196,20765,411,52.3,18.1
197,20769,5705,71.8,4.7
198,20770,20269,76.7,6.6
199,20772,36863,69.3,5.5
200,20774,38216,70.2,6.5
201,20776,2521,68.6,3.7
202,20777,2792,64.4,3.7
203,20778,1598,73.2,5.9
204,20779,943,66.9,4.7
205,20781,8838,76.1,4.5
206,20782,25856,73.8,5.2
207,20783,36039,75.9,4.8
208,20784,23415,73.7,9.4
209,20785,28562,73.9,9.5
210,20794,14578,41.2,6.1
211,20812,243,74.5,2.2
212,20814,23961,73.2,3.1
213,20815,24706,65.1,3.7
214,20816,12429,65.8,3.5
215,20817,29005,66,3.3
216,20818,1584,72.3,6.7
217,20832,21219,71.2,2.5
218,20833,6026,72.4,4.6
219,20837,4983,70.5,5.5
220,20838,211,70.6,0
221,20839,53,50.9,0
222,20841,8063,66,2.7
223,20842,1592,67.2,8.2
224,20850,40669,70.1,5.2
225,20851,11811,76.7,6.4
226,20852,38647,70.3,4.5
227,20853,25011,70.5,6.6
228,20854,39214,63.8,2.8
229,20855,12130,67.2,6.1
230,20860,2109,62.8,7.5
231,20861,1516,69,2
232,20862,255,50.2,0
233,20866,12018,76.9,7.1
234,20868,568,58.8,9.3
235,20871,14148,77.6,4.5
236,20872,10366,74.2,3
237,20874,46434,76.8,5.1
238,20876,21461,76.4,4.9
239,20877,30247,72.2,6.6
240,20878,50712,74.3,4.8
241,20879,20474,74.2,6.3
242,20880,435,68.5,4.4
243,20882,10887,71.8,3.3
244,20886,26761,72.8,5.8
245,20895,15418,70.1,3.4
246,20896,692,73.4,5.3
247,20899,242,79.8,4.7
248,20901,28412,75.8,6.3
249,20902,40764,73.8,7.3
250,20903,19547,74.7,9
251,20904,46737,69.1,8
252,20905,15100,67.6,6.6
253,20906,56486,68,6.8
254,20910,35775,77,5.8
255,20912,20481,78.8,7
256,21001,19746,67.1,6.3
257,21005,1857,87.4,5.3
258,21009,23659,72.8,4.8
259,21010,182,80.8,0
260,21012,16531,72.6,3.8
261,21013,4186,66.9,3.4
262,21014,28610,68.2,4.3
263,21015,22784,69.1,5.2
264,21017,5312,76.8,5
265,21028,2461,64.6,5.4
266,21029,8771,68.2,3
267,21030,20095,70.3,4
268,21031,0,-,-
269,21032,6953,68.8,9.6
270,21034,2919,63.4,7.9
271,21035,6194,67.5,4.2
272,21036,1967,60.3,3.5
273,21037,17728,72.6,6.1
274,21040,18532,66.9,7.2
275,21042,31451,68.6,3.3
276,21043,36953,71.3,3.4
277,21044,35699,73.9,5
278,21045,31346,72.5,4.7
279,21046,12610,73.2,5
280,21047,9857,65.9,2.2
281,21048,8613,69.4,3.3
282,21050,14403,68.7,4.4
283,21051,305,68.9,4.3
284,21052,208,54.8,11.4
285,21053,2888,59.5,8.2
286,21054,8272,67.5,3.1
287,21056,219,74.4,0
288,21057,3454,65.3,3.4
289,21060,26354,67,5.4
290,21061,43340,71.4,7
291,21071,365,80.8,12.2
292,21074,12220,68.2,5.4
293,21075,23913,76.4,3.1
294,21076,13777,80.6,3.7
295,21077,228,80.3,0
296,21078,15104,66.7,8.7
297,21082,384,60.4,0
298,21084,6446,66.6,4.3
299,21085,13278,70,5.2
300,21087,4715,59.3,4
301,21090,8365,67.7,3.8
302,21093,31582,63.7,3.2
303,21102,8687,68.4,3.6
304,21104,4012,65.8,1.7
305,21105,25,0,-
306,21108,14885,70,3.1
307,21111,3689,73.9,1.7
308,21113,25997,76.2,4.8
309,21114,20361,76.5,3.7
310,21117,47233,73.8,4.9
311,21120,5842,66.9,3.9
312,21122,49592,73.6,5.6
313,21128,10796,67.5,2.7
314,21130,257,69.6,0
315,21131,5817,62.1,3
316,21132,2423,63.9,1
317,21133,26379,67.4,7.5
318,21136,27108,70.9,5.9
319,21140,2576,68.5,4.2
320,21144,26438,73.9,7.1
321,21146,21387,68.3,3.6
322,21152,4558,71.4,1.8
323,21153,270,53,0
324,21154,4869,63.5,3.7
325,21155,2362,79.3,4
326,21156,303,46.2,4.3
327,21157,30171,66.4,4.1
328,21158,16292,66.7,3.9
329,21160,2254,75.4,5.9
330,21161,4614,66.2,3.4
331,21162,3224,68.3,9
332,21163,5958,62.8,3.5
333,21201,14472,63.6,6.2
334,21202,19455,51.4,9.2
335,21204,18638,58.2,4.6
336,21205,10805,56.7,18
337,21206,40151,69.6,7.3
338,21207,39795,63,8.3
339,21208,30154,60,4.9
340,21209,21285,69.8,3.9
341,21210,13462,47.8,3.4
342,21211,14478,73.2,5.2
343,21212,26175,69.6,8.7
344,21213,24143,57.1,16.5
345,21214,16939,69.5,9.3
346,21215,47366,52,14.2
347,21216,24292,56.3,13.3
348,21217,28574,53.4,11.9
349,21218,42199,55.7,11.9
350,21219,7927,59.5,7
351,21220,32105,68.2,6.4
352,21221,33534,62.7,7.5
353,21222,43899,60.3,8.1
354,21223,17904,53.1,15.8
355,21224,41193,72.5,5.1
356,21225,25158,61.3,11.4
357,21226,5826,68.1,6
358,21227,26386,69.2,6.8
359,21228,39801,66.3,4.6
360,21229,37577,65.2,9.8
361,21230,29402,75.4,6.3
362,21231,14552,73.2,5.5
363,21234,56942,67.3,5.7
364,21236,31667,70.8,4.6
365,21237,24462,68.3,5.8
366,21239,26558,64.8,10.6
367,21240,0,-,-
368,21244,28430,72.4,5.2
369,21250,2511,28.8,15.7
370,21251,881,12.1,4.7
371,21252,2605,33.3,16.4
372,21286,17964,59.7,3.5
373,21401,30618,64.7,3.9
374,21402,6034,89.6,7.8
375,21403,25028,71.1,4.2
376,21405,293,46.1,0
377,21409,16566,70.6,4
378,21502,35986,49.7,8.9
379,21520,1667,66.2,6.1
380,21521,991,47.9,12.6
381,21522,120,69.2,0
382,21523,163,50.9,9.6
383,21524,538,58.4,7.3
384,21529,435,59.8,4.6
385,21530,1380,46.2,8.2
386,21531,1759,55.9,6.5
387,21532,13080,55.7,8.3
388,21536,3330,60.9,2
389,21538,360,52.2,10.1
390,21539,2240,54.1,12.6
391,21540,67,61.2,22
392,21541,1076,62.5,0.4
393,21542,554,59.2,13.5
394,21543,182,36.8,0
395,21545,1617,63.2,11.7
396,21550,12317,58.2,4.9
397,21555,1605,61.2,9.8
398,21557,1495,49.2,9.2
399,21561,2054,51.1,3.1
400,21562,2587,56.1,9.4
401,21601,19908,61,4.4
402,21607,592,75.2,1.3
403,21610,301,61.5,15.7
404,21612,313,38.3,7.5
405,21613,14199,61.5,8.6
406,21617,8257,67.6,2.3
407,21619,5206,67.7,5.7
408,21620,10899,54.3,3.7
409,21622,802,62.7,3.6
410,21623,1531,56.4,4.1
411,21624,143,63.6,0
412,21625,1989,73.5,4.1
413,21626,124,67.7,0
414,21627,21,23.8,0
415,21628,600,58.2,0
416,21629,7475,64.8,6.6
417,21631,1857,64.5,9.3
418,21632,4517,59.8,9.8
419,21634,91,19.8,0
420,21635,1665,67.9,4.5
421,21636,890,74.5,0
422,21638,4045,66.7,2.7
423,21639,3478,63,7.5
424,21640,1326,59.7,3.7
425,21641,72,59.7,2.3
426,21643,4769,67.3,8
427,21644,103,41.7,0
428,21645,1002,61.1,1.5
429,21647,153,45.8,0
430,21648,249,61.4,32
431,21649,1467,61.1,4.2
432,21650,129,48.8,0
433,21651,2452,68.6,9.6
434,21652,125,7.2,100
435,21653,91,48.4,0
436,21654,966,39.2,7.6
437,21655,4385,73.7,3.1
438,21657,790,72.7,1.6
439,21658,3145,65.9,5.7
440,21659,1099,64.8,12.1
441,21660,3108,65.5,8.4
442,21661,2136,57.6,4.6
443,21662,448,58.5,5.8
444,21663,2816,48.7,1.7
445,21664,455,57.8,3.8
446,21665,247,48.2,13.4
447,21666,9617,71.6,2.8
448,21667,246,59.8,6.8
449,21668,1634,66,5.1
450,21669,187,72.7,7.4
451,21671,671,55.3,15.6
452,21672,173,59,12.7
453,21673,2747,68.5,3.8
454,21675,123,62.6,0
455,21676,385,64.9,0
456,21677,363,43.5,12
457,21678,1668,58.1,9
458,21679,330,43,0
459,21701,30542,70.3,4.3
460,21702,32450,71.4,5.5
461,21703,27032,74.7,5.5
462,21704,11730,71.2,4.4
463,21705,0,-,-
464,21710,3952,65.6,5.1
465,21711,916,63,11.6
466,21713,8188,63.6,6.9
467,21714,133,75.9,0
468,21716,4090,69.1,6.4
469,21717,70,85.7,43.3
470,21718,131,75.6,2
471,21719,769,67.8,10.6
472,21722,4526,63.9,6.5
473,21723,562,68.7,0
474,21727,5871,57.6,5.7
475,21733,888,83.6,3.1
476,21734,623,63.2,14.2
477,21737,1629,67.3,4.9
478,21738,2851,61.9,4.3
479,21740,49211,58.6,8.2
480,21742,26556,64.6,5.9
481,21746,2747,0,-
482,21750,2896,60.5,5.6
483,21754,4934,71.6,2.8
484,21755,4669,68.7,5.3
485,21756,2919,68,4.3
486,21757,2854,70.6,4.1
487,21758,3748,66.8,5.8
488,21762,263,72.6,0
489,21766,413,51.3,4.2
490,21767,884,60.3,0
491,21769,8875,69.7,4.8
492,21770,4164,70.6,5
493,21771,23336,71.8,4.8
494,21773,4572,71,4.4
495,21774,9656,76.3,4.1
496,21776,4337,70.8,4.5
497,21777,1327,70,5.2
498,21778,1154,73.1,10
499,21779,894,78.2,2.6
500,21780,1262,64.3,8.6
501,21781,130,46.9,0
502,21782,3203,62.3,7
503,21783,6969,67.3,3.9
504,21784,31388,67.7,3.2
505,21787,8309,66.9,4.1
506,21788,9441,71.2,6.4
507,21790,66,50,0
508,21791,4494,63.3,5.3
509,21793,8003,67,5.9
510,21794,1938,69.6,4.2
511,21795,7531,58.5,5.7
512,21797,6761,67.5,1.9
513,21798,1515,73.6,2
514,21801,24234,62.8,8.5
515,21802,101,21.8,0
516,21804,32910,66.6,6.5
517,21810,810,63,8.6
518,21811,19239,56.3,6.2
519,21813,2336,61.5,0.8
520,21814,397,38.5,0
521,21817,3851,52.5,11.2
522,21821,859,42.7,5.2
523,21822,1912,69.4,6.9
524,21824,77,39,0
525,21826,4235,70.1,9.1
526,21829,391,70.3,0
527,21830,2928,69.4,6
528,21835,346,83.5,10.4
529,21837,2531,67.6,8.4
530,21838,1400,59.6,1.8
531,21840,348,54.6,21.6
532,21841,931,75.5,8.7
533,21842,9729,60.1,7.8
534,21849,2756,66.8,6.9
535,21850,1987,70.6,7.9
536,21851,5640,60.2,9.1
537,21853,10106,46.4,13.6
538,21856,634,38.5,0
539,21861,662,74.3,3.3
540,21862,150,100,38.7
541,21863,4013,57.4,10.3
542,21864,647,61.4,0
543,21865,400,43.3,9.8
544,21866,58,48.3,17.9
545,21867,6,100,0
546,21869,940,62.6,3.9
547,21871,1637,53.8,2.4
548,21872,497,79.1,0
549,21874,1652,73.2,13.7
550,21875,4782,69,9
551,21890,2715,0,-
552,21901,13789,67.5,5.6
553,21902,228,0,-
554,21903,4958,65.7,4
555,21904,5737,69.1,9.2
556,21911,8485,70,8.4
557,21912,809,84.9,0
558,21913,732,70.2,8.4
559,21914,626,56.5,6.5
560,21915,2348,67.5,4.2
561,21916,42,4.8,0
562,21917,2037,75.4,1.5
563,21918,3218,65.7,6.3
564,21919,2672,54.9,0.9
565,21920,245,49,0
566,21921,35011,65.2,5.8
567,21930,205,68.8,0
568,22003,49394,70.5,5.2
569,22015,35796,70,3.8
570,22025,13440,70.6,4.1
571,22026,11640,72.6,5.2
572,22027,1871,64,11.4
573,22030,48329,69.6,5.1
574,22031,26723,72,3.6
575,22032,25147,66,4.7
576,22033,31781,74.9,3.4
577,22035,0,-,-
578,22039,14440,67.2,5.4
579,22041,22292,66.5,6.2
580,22042,27668,79.7,5
581,22043,20141,74.7,3.5
582,22044,10927,70.7,2.7
583,22046,14247,73.6,4.2
584,22060,6079,70.5,11.3
585,22066,14222,60.4,5.3
586,22079,26604,76.7,4.3
587,22101,22804,61.6,4
588,22102,20216,69.4,5
589,22124,14414,67.1,2.5
590,22125,652,81.4,2.1
591,22134,5995,84.5,9.7
592,22150,22480,65.6,7
593,22151,14556,70.1,3.8
594,22152,23098,70.5,4.4
595,22153,23862,71.3,3.3
596,22172,7332,72.2,6.3
597,22180,19330,71.3,2.8
598,22181,11697,69.5,3.9
599,22182,20539,66.6,4.3
600,22185,0,-,-
601,22191,52012,76,5.3
602,22192,44192,73.1,4.9
603,22193,62264,73.5,6.5
604,22201,33329,86,2.5
605,22202,21587,79.7,3.5
606,22203,21141,77.9,2.5
607,22204,45261,77.5,4
608,22205,14312,74.6,2.3
609,22206,17439,81.9,4.8
610,22207,25894,67.8,2.5
611,22209,11330,81.3,3.5
612,22211,1026,90.4,0
613,22213,2603,71.5,1.6
614,22214,0,-,-
615,22301,10433,80,2.4
616,22302,15839,77.9,2.8
617,22303,12611,79,3
618,22304,40400,78.4,4.7
619,22305,14156,78.8,2.6
620,22306,26902,74.4,5.4
621,22307,8163,72.9,3.2
622,22308,9766,69.6,2.7
623,22309,27565,72.6,6.3
624,22310,25013,74.4,5.1
625,22311,14430,75.1,4.5
626,22312,26127,76.7,5.1
627,22314,28925,78.3,3
628,22315,23013,75.8,4.1
629,22401,22773,68.8,5.6
630,22405,23695,66,3.9
631,22406,19188,65.6,4.3
632,22407,45547,67.1,5.1
633,22408,22490,73.7,6.8
634,22427,4142,71.5,3
635,22432,159,43.4,0
636,22433,295,67.1,0
637,22435,1986,56.3,8.5
638,22436,581,79.3,2.2
639,22437,810,70.2,0
640,22438,171,48,0
641,22443,6757,56.5,5.8
642,22448,392,75.3,5.4
643,22454,1467,65.2,3.9
644,22460,1242,62.5,5.8
645,22469,1082,52.4,3.3
646,22473,4815,51.3,9.4
647,22476,553,70.2,8.8
648,22480,663,22.5,6.7
649,22482,2536,45.9,4.3
650,22485,19357,68.3,5
651,22488,954,45.7,18.1
652,22503,3258,53.2,3.6
653,22504,364,61.8,3.6
654,22508,11514,61.2,6.1
655,22509,44,100,0
656,22511,946,43.8,2.2
657,22514,2059,67,4.4
658,22520,5258,60.4,6.7
659,22529,116,31.9,0
660,22530,12,100,0
661,22534,2693,60,13.2
662,22535,475,66.9,1.9
663,22538,118,69.5,0
664,22539,1897,40.8,2.7
665,22542,1819,66.8,8.9
666,22546,11906,68.7,7.9
667,22548,226,61.9,0
668,22551,14978,65.1,4.9
669,22553,10989,67.7,4
670,22554,41830,70.7,4.3
671,22556,21811,71.2,4.5
672,22560,4822,57.1,8
673,22567,2169,55.5,14
674,22572,6259,44.2,8.8
675,22576,1739,52.8,7.4
676,22578,2191,46.2,5.4
677,22579,47,51.1,0
678,22580,4148,56.1,4.1
679,22601,22896,64.4,4.4
680,22602,23130,69.4,4.9
681,22603,12801,56.1,3.8
682,22610,1639,55.2,2.3
683,22611,7314,61.6,3.2
684,22620,2075,67.6,1.8
685,22623,559,57.4,0
686,22624,2167,63.2,4.9
687,22625,2858,68.1,5.5
688,22627,512,39.8,2.9
689,22630,25830,63,6.3
690,22637,1668,64.6,2.1
691,22639,304,66.8,0
692,22640,505,80.6,5.7
693,22641,342,48.5,0
694,22642,3459,73.7,6.1
695,22643,219,54.8,0
696,22644,2004,69,3.2
697,22645,3258,67.2,3.5
698,22646,102,70.6,0
699,22650,531,59.3,13.3
700,22652,1051,52.5,8.3
701,22654,1040,83,13.8
702,22655,16022,72.1,3
703,22656,2441,61.1,2.7
704,22657,8070,62,4.3
705,22660,1693,71.7,4.9
706,22663,1326,61.1,4.1
707,22664,7023,58.5,6.8
708,22701,25632,67.5,5.2
709,22709,830,63.4,2.1
710,22711,40,52.5,0
711,22712,6684,74.2,5.1
712,22713,1165,73,2
713,22714,700,70.1,11.2
714,22715,1010,50,2.8
715,22716,753,56.2,0
716,22718,567,56.6,0
717,22719,293,88.4,7.3
718,22720,831,74,0
719,22722,339,57.2,20.1
720,22723,115,18.3,0
721,22724,1852,64.3,6
722,22726,591,60.4,15.4
723,22727,3979,56.9,2.7
