,Zip Code,Total Population,Labor Force Participation Rate,Unemployment rate
724,22728,2431,72.2,2
725,22729,1146,5.4,0
726,22730,186,53.8,0
727,22731,18,100,0
728,22732,204,51.5,0
729,22733,1458,51.2,13.1
730,22734,2717,68.3,6.3
731,22735,2705,76.2,7.4
732,22736,612,52.5,20.4
733,22737,2490,63.7,4.2
734,22738,1038,67.4,18.1
735,22740,1076,59.5,5.3
736,22741,128,57.8,0
737,22742,1472,71.3,7.4
738,22743,161,55.3,0
739,22747,890,63.5,0
740,22749,259,45.2,0
741,22801,33493,59.8,5.4
742,22802,23755,68.3,4.6
743,22807,3227,30.3,16.4
744,22810,630,41.7,4.2
745,22811,536,67.4,6.6
746,22812,7494,58.7,2
747,22815,7197,66.5,6.3
748,22820,218,83.9,19.7
749,22821,4451,72.7,2.7
750,22824,5277,63,4.1
751,22827,8431,61.2,5.2
752,22830,1388,57.3,3.6
753,22831,846,62.2,3.2
754,22832,838,76.5,9.8
755,22834,870,69.9,5.1
756,22835,9530,57.7,7.2
757,22840,3518,67.7,3.4
758,22841,2272,64.9,1
759,22842,4317,59.3,7
760,22843,2012,67.1,3.1
761,22844,4142,61.7,4.3
762,22845,9,100,0
763,22846,1891,74.6,4.1
764,22847,741,75.3,3.6
765,22849,3835,58.6,8.8
766,22850,905,69.9,10.4
767,22851,5176,60.9,8.4
768,22853,3279,63.6,5.5
769,22901,27831,66.2,1.4
770,22902,19696,71.8,2.7
771,22903,34449,57.9,4.3
772,22904,5268,20.1,5.6
773,22911,13783,66.5,3.1
774,22920,3144,65.4,2.5
775,22922,1632,59.8,0
776,22923,3897,63.8,5.8
777,22931,233,63.5,0
778,22932,6041,67.4,5.9
779,22935,786,52,0
780,22936,4027,65.3,2.8
781,22937,1679,60.2,6.1
782,22938,1275,76.6,6.2
783,22939,5009,56.6,3
784,22940,1150,51.1,1.4
785,22942,6823,60.8,9.5
786,22943,245,68.6,13.1
787,22946,184,58.2,0
788,22947,3522,56.9,7.8
789,22948,180,61.7,0
790,22949,1227,43.3,11.3
791,22952,1835,57.3,6.8
792,22958,2067,43.5,0
793,22959,1326,60,0
794,22960,8172,58.6,6.8
795,22963,12392,62.3,4.1
796,22964,145,65.5,4.2
797,22967,1413,65.5,5.5
798,22968,7966,70.1,5
799,22969,854,56.7,5.8
800,22971,1142,70.3,0.5
801,22972,392,68.6,5.9
802,22973,5106,58.4,9.5
803,22974,4877,50.6,6.7
804,22976,602,75.9,3.1
805,22980,25028,61.8,4.1
806,22989,16,100,0
807,23002,7733,61.5,2.9
808,23004,736,70.9,6.1
809,23005,13386,64,3.7
810,23009,5067,68.8,3
811,23011,1576,40,10.6
812,23015,3215,71,3.8
813,23021,134,41.8,0
814,23022,1197,64.8,3.6
815,23023,407,54.8,0
816,23024,7160,63,5.9
817,23025,276,46.7,0
818,23027,790,69,14.7
819,23030,4206,60.1,6
820,23032,283,78.8,23.3
821,23035,882,54.8,5.4
822,23038,1206,57,8.2
823,23039,896,54,3.1
824,23040,3763,63.9,1.9
825,23043,1512,45.4,7.9
826,23045,60,80,0
827,23047,1778,66.5,6.6
828,23050,974,67,0
829,23055,707,59.7,19
830,23056,321,43.3,0
831,23059,25836,69.9,3.8
832,23060,29596,73.9,3.9
833,23061,17521,60.5,3.5
834,23062,1968,52.3,0
835,23063,3789,61,4.6
836,23064,276,80.8,0
837,23065,1522,47.7,1.5
838,23066,138,41.3,0
839,23068,196,73.5,0
840,23069,2666,64.1,5.4
841,23070,322,49.1,0
842,23071,1342,49.9,1.5
843,23072,9773,63,3.8
844,23075,7427,66.6,9.1
845,23076,691,43.6,0
846,23079,397,64,2.4
847,23083,1835,61.9,6
848,23084,1446,57.6,3.8
849,23085,556,83.8,0
850,23086,2671,60.7,2.7
851,23089,4041,63.2,13.6
852,23091,118,52.5,0
853,23092,715,65.9,25.1
854,23093,11195,62.9,6
855,23102,2762,67.8,5.6
856,23103,4466,57.6,2.1
857,23106,705,72.2,3.5
858,23108,247,87,0
859,23109,2016,55.2,2.8
860,23110,582,58.4,11.5
861,23111,30009,69.4,3.3
862,23112,40536,72,3.2
863,23113,19758,62.9,4.6
864,23114,14218,70.9,3.7
865,23115,125,71.2,0
866,23116,22620,69.1,3
867,23117,7516,60.3,7.5
868,23119,443,42.9,0
869,23120,6271,75.3,2.4
870,23123,1669,51.4,13.5
871,23124,3386,61.1,0
872,23125,188,51.1,0
873,23126,143,32.2,0
874,23128,774,63.7,1.3
875,23129,392,71.2,2.9
876,23130,149,43,0
877,23138,380,50.5,0
878,23139,20127,63.1,4.1
879,23140,5233,65.2,2.6
880,23141,5170,71.4,4.9
881,23146,2435,68.7,3.8
882,23148,1640,58,7.3
883,23149,2697,53.1,2.5
884,23150,9421,65.9,4.9
885,23153,1011,68.8,0
886,23156,1299,47.2,0
887,23160,2631,0.2,0
888,23161,143,50.3,0
889,23163,137,62.8,0
890,23168,5277,69.9,6
891,23169,1031,35.3,3.3
892,23173,2209,45.4,16.6
893,23175,1497,54.8,5.2
894,23176,424,47.9,0
895,23177,382,47.6,6.6
896,23180,405,60.5,0
897,23181,4489,64.5,4.5
898,23185,41509,58.6,5.9
899,23187,244,38.9,18.9
900,23188,34827,57.7,4.5
901,23192,5532,64.9,3.3
902,23219,3936,56,9.9
903,23220,32005,67,10.2
904,23221,13507,76.6,3.6
905,23222,20406,60,10.9
906,23223,41620,62.4,7.2
907,23224,29940,67.4,13.3
908,23225,34710,68.7,7.2
909,23226,13122,70.7,3.1
910,23227,21393,64.6,8.2
911,23228,29408,73.4,6.8
912,23229,27573,66.5,6.2
913,23230,5603,70.4,5
914,23231,29970,66.4,7.4
915,23233,24101,75,2.8
916,23234,34560,69.4,10.8
917,23235,26513,67.1,5.2
918,23236,21462,67.3,6.4
919,23237,17471,67.6,6.9
920,23238,21516,66.7,4.6
921,23250,0,-,-
922,23294,14095,72.7,6.6
923,23301,1089,43.9,2.5
924,23302,169,62.1,0
925,23303,938,52,0
926,23304,38,47.4,0
927,23306,805,68.9,0
928,23307,352,64.2,0
929,23308,1609,58.3,4.7
930,23310,3769,54.2,6.3
931,23313,57,80.7,0
932,23314,6561,67.4,5.7
933,23315,1107,60.8,5.6
934,23316,299,37.1,27
935,23320,44403,71.5,6.2
936,23321,27267,66,7.6
937,23322,51361,60.5,3.6
938,23323,30365,67.2,6.3
939,23324,17583,64,8.4
940,23325,13948,67.2,4.3
941,23336,2527,57,6.4
942,23337,392,61.2,0
943,23347,471,64.1,1
944,23350,2793,47.5,2
945,23354,224,72.3,0
946,23356,1187,57.1,0
947,23357,639,66.2,0
948,23358,61,100,0
949,23359,606,55.9,7.7
950,23389,302,94,12
951,23395,304,39.8,13.2
952,23398,66,16.7,0
953,23401,230,53.5,40.7
954,23405,729,42.8,1.9
955,23407,627,53.1,10.5
956,23408,28,100,0
957,23409,104,38.5,15
958,23410,1447,64.3,0.3
959,23413,946,57,3.5
960,23414,66,54.5,0
961,23415,1380,54.9,1.8
962,23416,240,55,12.1
963,23417,2716,45.2,3.7
964,23418,802,52,1.7
965,23420,2822,59.2,14.3
966,23421,3308,50.5,4.4
967,23422,152,55.3,7.1
968,23423,309,34.3,0
969,23426,86,37.2,0
970,23427,208,49.5,10.7
971,23430,14370,63.9,7.4
972,23432,1227,57.1,4.4
973,23433,1029,59.8,4.8
974,23434,38401,65,8.8
975,23435,22279,71.4,3.9
976,23436,729,63.4,0
977,23437,3366,62.8,4.7
978,23438,1364,64.4,8.5
979,23440,388,47.9,2.7
980,23441,66,77.3,15.7
981,23442,749,70.5,7.6
982,23451,35068,67.7,5.5
983,23452,49076,70.6,5.6
984,23453,27876,73.2,5.4
985,23454,47133,70.5,5.2
986,23455,41481,73.6,5.4
987,23456,41881,68,5.3
988,23457,3492,65.9,3.5
989,23459,878,77.8,8.2
990,23460,1915,100,0
991,23461,432,100,-
992,23462,50262,72.2,5.1
993,23464,59683,69.3,5.1
994,23480,282,38.7,1.8
995,23486,123,30.9,36.8
996,23487,4710,63.2,7.8
997,23488,167,49.1,14.6
998,23502,17387,67.9,6.1
999,23503,26041,72.3,7.6
1000,23504,17670,59.8,12.6
1001,23505,23357,67.7,8.6
1002,23507,6074,69.1,3.7
1003,23508,19718,57.6,9.7
1004,23509,11236,66.7,7.8
1005,23510,7079,55.5,8.7
1006,23511,13837,99.2,3.6
1007,23513,23971,69.7,10.3
1008,23517,4237,73.6,6.4
1009,23518,24151,67.9,7.1
1010,23523,5653,60.6,11.3
1011,23551,678,100,-
1012,23601,20439,65.1,6.1
1013,23602,31172,68.8,5.8
1014,23603,2943,73.6,6
1015,23604,5271,88.1,19.9
1016,23605,10587,66.6,9.9
1017,23606,25280,66.5,7.1
1018,23607,17765,61.7,11.2
1019,23608,31872,69.8,7.8
1020,23651,395,54.2,0
1021,23661,10850,61.9,9.5
1022,23662,9701,65.2,4.7
1023,23663,10234,61.9,7.8
1024,23664,8296,66.4,5.1
1025,23665,4306,79.9,10.7
1026,23666,42289,68.7,7.5
1027,23669,33774,60.4,8.1
1028,23690,2940,79,8.1
1029,23691,75,42.7,0
1030,23692,15321,60.6,6.8
1031,23693,18723,70,5.6
1032,23696,2964,63.7,6
1033,23701,19851,59.2,9.9
1034,23702,8293,66.9,11.1
1035,23703,20662,70.8,7.8
1036,23704,14128,60.6,10.3
1037,23707,11227,67.7,11.5
1038,23708,451,100,-
1039,23709,517,100,0
1040,23801,3049,75.3,8.2
1041,23803,31081,61.3,11.7
1042,23805,16535,64.9,9.4
1043,23806,1788,45.2,46.8
1044,23821,1669,46.9,3.2
1045,23824,5317,54.1,3.3
1046,23827,1356,69.7,10.3
1047,23828,180,58.9,1.9
1048,23829,2238,24.8,5.1
1049,23830,893,59.1,6.8
1050,23831,28801,67.2,4.9
1051,23832,27933,70.5,5.6
1052,23833,2092,68.6,11.2
1053,23834,19517,63.5,8.8
1054,23836,10401,67.9,7.2
1055,23837,3978,56.6,4.4
1056,23838,13028,69.6,2.5
1057,23839,660,65.2,4.9
1058,23840,2413,70.2,14.2
1059,23841,3106,58.4,3.9
1060,23842,5571,65.2,4.8
1061,23843,519,50.9,17.4
1062,23844,432,54.6,4.2
1063,23845,358,66.2,0
1064,23846,811,69.4,4.4
1065,23847,12640,44.3,12.1
1066,23850,1036,56.4,0
1067,23851,10272,62.1,10.9
1068,23856,702,51.7,9.4
1069,23857,453,44.2,0
1070,23860,25196,53.2,9.8
1071,23866,1855,66.1,4.7
1072,23867,1492,59,5.3
1073,23868,6180,39.6,11.1
1074,23872,1952,65.4,9.8
1075,23874,776,57.9,0.4
1076,23875,9537,64.1,8.4
1077,23876,282,53.2,0
1078,23878,834,64.4,3.4
1079,23879,497,81.3,5.7
1080,23881,1529,51.7,3.2
1081,23882,1405,48.8,0.1
1082,23883,1993,64.4,11.5
1083,23884,45,17.8,0
1084,23885,2373,58.4,6.9
1085,23887,223,53.8,0
1086,23888,1658,58,8.6
1087,23889,558,52.3,8.2
1088,23890,2477,53.3,7.2
1089,23891,4423,0,-
1090,23893,194,60.3,20.5
1091,23894,397,68.3,6.6
1092,23897,386,41.2,0.6
1093,23898,1822,59.9,3.1
1094,23899,281,44.5,10.4
1095,23901,15336,49.5,5.2
1096,23909,711,27.7,2
1097,23915,1072,27.5,2.7
1098,23917,2391,42.1,8.8
1099,23919,1994,47.1,4.7
1100,23920,2951,63.5,5.4
1101,23921,1468,40.8,4.7
1102,23922,3570,29.7,12.4
1103,23923,2115,48.5,3.5
1104,23924,4916,56.3,5.2
1105,23927,3527,44.6,4.2
1106,23930,4428,52.1,6
1107,23934,374,48.9,0.5
1108,23936,6796,45.3,9.1
1109,23937,1802,51,12.7
1110,23938,355,63.9,0
1111,23942,1308,67.2,2.8
1112,23943,85,7.1,0
1113,23944,2763,54.9,2.6
1114,23947,3432,52.3,6.5
1115,23950,2878,57.9,6.2
1116,23952,167,21.6,50
1117,23954,1378,40.5,2.2
1118,23958,2750,53.5,7.3
1119,23959,1001,50.6,2
1120,23960,1378,51.5,5.2
1121,23962,430,44.7,7.8
1122,23963,58,100,0
1123,23964,887,57.7,10.7
1124,23966,1829,66.2,10.7
1125,23967,981,63,3.1
1126,23968,671,49,6.4
1127,23970,6488,60.4,2.5
1128,23974,4404,41.6,7
1129,23976,40,45,38.9
1130,24011,416,79.1,0.6
1131,24012,23826,62.2,7.4
1132,24013,6220,58.8,7.5
1133,24014,14417,62.8,3.9
1134,24015,12884,70.2,3.3
1135,24016,7264,64.6,4.9
1136,24017,18667,60.3,9.8
1137,24018,30540,63.1,4.7
1138,24019,22195,66.1,4.1
1139,24020,526,65.2,0
1140,24053,2318,49.4,2.4
1141,24054,5316,57.3,9.2
1142,24055,10727,52.3,12.8
1143,24058,156,49.4,0
1144,24059,809,56.7,0
1145,24060,49272,53.9,4.7
1146,24064,4017,58.6,2.7
1147,24065,5485,63.9,1.8
1148,24066,4101,67.4,5.7
1149,24067,1938,72.7,1.9
1150,24069,1424,65.2,5.9
1151,24070,1196,59.8,2.8
1152,24072,917,74.9,0
1153,24073,25261,67.7,3.6
1154,24076,868,51.7,5.1
1155,24077,614,58.5,3.9
1156,24078,5679,58,6.7
1157,24079,1792,56.1,16
1158,24082,334,84.1,9.6
1159,24083,2514,55.6,3.9
1160,24084,9006,53.7,5.9
1161,24085,1741,51.8,3.5
1162,24086,210,41,0
1163,24087,3719,52.4,3.7
1164,24088,4697,57.4,9.2
1165,24089,2399,46.9,0.5
1166,24090,4101,56,2.7
1167,24091,5801,61.7,3
1168,24092,2367,62.7,7.7
1169,24093,153,58.2,6.7
1170,24095,4052,68.4,7.7
1171,24101,5109,53,6.1
1172,24102,1070,54.4,5.8
1173,24104,2831,47.7,4.4
1174,24105,334,52.7,19.3
1175,24112,25397,54.1,8.4
1176,24120,1123,50.7,4.4
1177,24121,9085,49.1,3.5
1178,24122,1314,67.7,3.1
1179,24124,3782,53.3,7.6
1180,24127,3213,50.7,4.5
1181,24128,1739,61.6,4.8
1182,24130,22,50,0
1183,24131,42,100,0
1184,24132,390,48.2,0
1185,24133,2134,54.2,2.2
1186,24134,3893,62.4,3.2
1187,24136,2717,55.2,3.3
1188,24137,2319,51.4,2
1189,24138,1407,54.9,0
1190,24139,397,35.3,0
1191,24141,19427,57.3,6.5
1192,24142,2833,35.9,15.2
1193,24147,1072,56.7,1
1194,24148,6577,53.3,6.3
1195,24149,2694,56.7,5.4
1196,24150,772,61,15.9
1197,24151,16017,61.5,6.7
1198,24153,31802,60.3,4.9
1199,24161,449,58.4,0
1200,24162,1721,59.7,3.4
1201,24165,1061,45.1,10.5
1202,24167,228,70.2,0
1203,24168,135,54.8,0
1204,24171,7450,50.8,10.4
1205,24174,2242,59.1,6.3
1206,24175,6531,63.1,4.2
1207,24176,1316,53,2.2
1208,24179,14901,60.8,7.3
1209,24184,3558,48.6,4.5
1210,24185,614,57.2,0
1211,24201,13370,54.2,6.9
1212,24202,9739,54.7,7.4
1213,24210,14399,55.6,6.8
1214,24211,8312,62.8,4.8
1215,24216,2038,41.1,17.7
1216,24217,246,17.1,23.8
1217,24219,9481,42.9,9.4
1218,24220,527,40.8,0
1219,24221,505,40.6,3.9
1220,24224,4775,44.6,7.6
1221,24225,1619,34.3,13.1
1222,24226,1225,38,14.2
1223,24228,5477,42.6,4.1
1224,24230,7115,44.9,10.4
1225,24236,2520,50.5,8.1
1226,24237,875,48.8,3.5
1227,24239,179,29.1,0
1228,24243,1646,55.9,5.5
1229,24244,4962,44.1,11.8
1230,24245,678,35.7,5
1231,24246,312,60.6,0
1232,24248,2139,43.4,8.2
1233,24250,1353,53.7,1.4
1234,24251,6972,53,4.8
1235,24256,2939,35.6,8.8
1236,24258,1404,47.2,7.7
1237,24260,4706,38.4,6.7
1238,24263,4886,48.8,11.9
1239,24265,591,28.8,20.6
1240,24266,7746,53.2,6.5
1241,24269,284,39.4,15.2
1242,24270,392,73.2,8.7
1243,24271,2080,50.2,5.2
1244,24272,524,24.8,0
1245,24273,5289,57.2,12.4
1246,24277,5641,30.7,11
1247,24279,4586,35.4,7
1248,24280,771,42.7,0.3
1249,24281,2334,44.9,8.5
1250,24282,633,27.5,39.1
1251,24283,1681,40.6,7
1252,24290,1623,49.5,13.8
1253,24292,368,54.6,11
1254,24293,7898,52.3,8
1255,24301,11946,57.2,9.4
1256,24311,1629,50.2,5.4
1257,24312,1286,44,3.9
1258,24313,720,68.2,7.7
1259,24314,1231,59.7,10.6
1260,24315,3207,45.6,3.6
1261,24316,0,-,-
1262,24317,3015,57.8,2.8
1263,24318,492,46.3,0
1264,24319,5949,58.4,7.9
1265,24322,131,69.5,7.7
1266,24323,604,56.3,0
1267,24324,1494,68.8,3.1
1268,24325,823,38.3,9.2
1269,24326,1152,58.6,5.9
1270,24328,1441,51.6,0.9
1271,24330,2556,47.4,8.7
1272,24333,14712,55.9,5.4
1273,24340,4595,59.9,5.9
1274,24343,7685,58.6,4
1275,24347,1409,61.2,3.1
1276,24348,3614,46.1,8.2
1277,24350,1057,52.3,3.3
1278,24351,569,61.9,11.1
1279,24352,1042,39.8,0
1280,24354,12258,51.4,4.9
1281,24360,4881,62.9,6.5
1282,24361,4994,51.8,9.2
1283,24363,1161,51.8,8.7
1284,24366,560,46.6,5.4
1285,24368,4430,58.6,4
1286,24370,5191,51.4,6.7
1287,24374,684,62.9,4.7
1288,24375,1199,62.1,7.2
1289,24377,275,49.1,0
1290,24378,1003,36.3,1.6
1291,24380,2356,61.4,6.4
1292,24381,3340,67.1,3.9
1293,24382,11458,55.7,7.1
1294,24401,29296,60.1,3.6
1295,24411,60,0,-
1296,24412,30,0,-
1297,24413,106,50,0
1298,24415,33,100,0
1299,24416,7018,57.1,4
1300,24421,3391,63.6,2.9
1301,24422,5149,48.9,6.7
1302,24426,11422,52.4,4.2
1303,24430,3288,17.8,12.2
1304,24431,1932,69.8,4.2
1305,24432,280,62.1,0
1306,24433,68,30.9,0
1307,24435,1736,71.3,2.7
1308,24437,588,62.1,0
1309,24439,1090,49,1.3
1310,24440,2445,58.9,5.2
1311,24441,5209,65.6,5.4
1312,24442,101,71.3,0
1313,24445,2229,63.1,8
1314,24448,230,48.7,0
1315,24450,14980,46.1,2.9
1316,24457,157,15.9,0
1317,24458,351,34.5,4.1
1318,24459,489,52.8,0
1319,24460,1166,65.5,7.2
1320,24464,184,22.3,0
1321,24465,1240,48.7,0
1322,24467,1678,69.5,4.3
1323,24471,1380,74,2.1
1324,24472,1667,55.9,20.9
1325,24473,745,51.8,9.1
1326,24474,379,36.4,0
1327,24476,141,25.5,0
1328,24477,9260,65.5,5.6
1329,24479,1110,66.8,2.2
1330,24482,4190,58.3,3.8
1331,24483,402,72.9,0
1332,24484,476,56.1,6
1333,24485,183,43.2,0
1334,24486,3170,65.2,2.4
1335,24487,224,60.7,16.9
1336,24501,21199,57.7,7.4
1337,24502,39007,60.8,6.3
1338,24503,15724,58.1,5.1
1339,24504,7850,56,9.9
1340,24517,4500,50.8,3.6
1341,24520,1864,46.4,6.7
1342,24521,8626,50,3.5
1343,24522,7652,56.3,3
1344,24523,16496,59.4,4
1345,24526,1126,60.3,1.9
1346,24527,2631,65.3,2.2
1347,24528,2728,54.7,1.4
1348,24529,1600,48.6,5.8
1349,24530,1004,66.5,19.6
1350,24531,7604,47.5,4.6
1351,24534,1179,52.8,5.6
1352,24536,167,89.8,0
1353,24538,4396,62.5,2.4
1354,24539,130,37.7,0
1355,24540,25807,57.2,7.6
1356,24541,21943,57.1,10.1
1357,24549,3048,62.4,5.6
1358,24550,6585,66.1,2.8
1359,24551,19620,65.1,3.5
1360,24553,1061,58.1,9.4
1361,24554,3171,55.3,5.7
1362,24555,1731,57.5,7.5
1363,24556,2586,64.1,4.5
1364,24557,6091,54,6.6
1365,24558,5243,49.9,2.5
1366,24562,324,51.5,12
1367,24563,4736,60.2,6.7
1368,24565,757,54.4,5.8
1369,24566,927,70.7,12.1
1370,24569,744,43.8,10.4
1371,24570,8,0,-
1372,24571,1706,69.9,6.2
1373,24572,13274,64.4,7.3
1374,24574,3605,55.7,2.4
1375,24577,4148,57.7,5.1
1376,24578,911,58.6,6
1377,24579,1340,54.7,7.1
1378,24580,452,63.1,4.9
1379,24581,30,0,-
1380,24586,4699,60.9,8
1381,24588,7636,61.3,2.4
1382,24589,1900,64.1,4
1383,24590,6594,67.9,6.4
1384,24592,11042,51.4,6.6
1385,24593,1679,60.5,6.3
1386,24594,1149,57.6,18.7
1387,24595,602,34.7,7.7
1388,24597,1057,60.3,0
1389,24598,1485,59.6,2.5
1390,24599,703,52.9,7.3
1391,24601,66,0,-
1392,24602,821,50.9,4.3
1393,24603,724,27.3,12.1
1394,24604,378,41,12.9
1395,24605,7321,55.5,6.7
1396,24606,116,31.9,0
1397,24607,263,19.4,0
1398,24609,5505,52.7,6.1
1399,24612,218,46.8,52.9
1400,24613,333,54.4,0
1401,24614,6150,45.2,8.3
1402,24620,2359,31.1,12.4
1403,24622,736,41.3,5.6
1404,24628,296,50.3,0
1405,24630,6138,50.1,12.6
1406,24631,2242,35.1,16.9
1407,24634,460,39.6,0.5
1408,24635,1374,11.6,5.7
1409,24637,3108,58,4.6
1410,24639,2403,43.8,8.5
1411,24641,4620,45.8,6.8
1412,24646,623,35.6,8.6
1413,24649,2482,43.9,7.8
1414,24651,4748,52,8.1
1415,24656,2590,41.9,3.3
1416,24657,346,41.6,11.8
1417,27024,2447,51.1,5.2
1418,27030,29792,53.7,5.2
1419,27048,7090,58.6,5.7
1420,27288,18711,54.4,10.7
1421,27551,1520,47.4,15.5
1422,27553,2114,36.1,7.2
1423,27818,1124,52.9,17.5
1424,27850,5976,49.1,4.4
1425,27853,227,49.3,0
1426,28623,1353,48,11.4
1427,28631,688,50.1,2.6
1428,28643,3037,59.3,10.2
