,lat,lng,name,vicinity,placeid,zip
0,38.8968215,-77.03290539999999,Magellan Health Services,"1455 Pennsylvania Avenue Northwest # 400, Washington",ChIJ52L4Api3t4kRg0pAKmwymv4,20004
1,38.90345099999999,-77.0407226,Accel E Medical,"1050 Connecticut Avenue Northwest # 10, Washington",ChIJL91LFrm3t4kRLXvL7y2Fzug,20036
2,38.9080967,-77.0414126,"Washington Medical Group, PC","1327 18th Street Northwest, Washington",ChIJIUMgc8e3t4kRhbix8nMNpqM,20036
3,38.9033301,-77.0393145,Center For Medicare Advocacy,"1025 Connecticut Avenue Northwest # 709, Washington",ChIJUVhSNLm3t4kRS53v-olIkQ8,20036
4,38.9050447,-77.04292509999999,Med Star Health,"1145 19th Street Northwest, Washington",ChIJK5vwSLi3t4kR3z6FlYjKVbo,20036
5,38.899649,-77.027214,Boston Medical Group,"1100 H Street Northwest #650, Washington",ChIJf8As6rm3t4kRuYBP-mt0pQg,20005
6,38.9032996,-77.0329148,Med Tech,"1025 Vermont Avenue Northwest, Washington",ChIJBXtvgpW3t4kRkddd3Qe9EZ8,20005
7,38.9028791,-77.0325632,Ehealthd C,"1411 K Street Northwest #300, Washington",ChIJAQAAAPG3t4kRj__6xQKlPNM,20001
8,38.9053391,-77.0398051,IMA World Health,"1730 M Street Northwest Suite 1100, Washington",ChIJ94znsrm3t4kR3Gjb-h_c4R8,20036
9,38.9017038,-77.0397617,Cardiocare,"900 17th Street Northwest #1250, Washington",ChIJ361Stbm3t4kRvfPGS6PymWk,20006
10,38.8994151,-77.04021089999999,Pleasant Hearts Private Care and Nurse Staffing,"1717 Pennsylvania Avenue Northwest #1025, Washington",ChIJSY-HzJDJt4kRSKougD3VeQQ,20006
11,38.91278829999999,-77.03223349999999,AMDR,"1401 R Street Northwest, Washington",ChIJ1elcxum3t4kRZ73zEUmtPYk,20009
12,38.90100640000001,-77.04124440000001,Egyptian American Medical Center,"1776 I Street Northwest, Washington",ChIJ__8_xbu3t4kR27z5mmS3vQ0,20006
13,38.9062777,-77.0293124,Washington Anti Aging HGH clinic and doctors,Washington,ChIJ5wlrqdK3t4kR1O-Byv73oxo,20005
14,38.9003748,-77.030475,Concept Wellness Center,"1331 H Street Northwest Suite # 200, Washington",ChIJBRBqqEC3t4kRpZOF2RE9Sb8,20005
15,38.9071923,-77.0368707,Balaji Nursing Home,"Khasra No, 1215, Behind DC office, Nala Road, Kapas, Hera Extension, Kapashera, New Delhi, Delhi, Washington",ChIJfTNSjsC3t4kRM3l6nSp9joM,20036
16,38.8989025,-77.0282457,the da vinci surgical robot,"700 12th Street Northwest, Washington",ChIJBQE4yJa3t4kRQjOCogNmTF8,20005
17,38.8978149,-77.02904099999999,Molina Healthcare - D.C,"601 13th Street Northwest #800, Washington",ChIJMwXx35a3t4kR28G8ZyU9CTw,20005
18,38.8968751,-77.03294210000001,Cure Campaign,"1455 Pennsylvania Avenue Northwest, Washington",ChIJCRFw55e3t4kRur4FsyE_VgU,20004
19,38.9022412,-77.0216425,Homeophathic Hospital,"699 Massachusetts Avenue Northwest #651, Washington",ChIJiwAff423t4kRhkEGe0U_BDA,20001
20,38.896732,-77.026567,Nelson Clinic,"401 Richard Street N 11th, Junior",ChIJ40h8w5C3t4kRSy3uX-LMGzc,26250
21,38.90130500000001,-77.050646,George Washington University Hospital,"900 23rd Street Northwest, Washington",ChIJO3_02LO3t4kRZdyvdVH8OSE,20037
22,38.89993169999999,-77.0472035,GW Student Health Service,"800 21st Street Northwest, Washington",ChIJFVKvL7e3t4kRKj1glK7_UKw,20037
23,38.9029437,-77.04571899999999,"Shalini Sitzmann, DO - DC Internists","2021 K Street Northwest #512, Washington",ChIJdSfUKAHIt4kRePj4P7gFc9s,20006
24,38.9017001,-77.0484858,George Washington University Med Center: Lew Susie Q MD,"2150 Pennsylvania Avenue Northwest, Washington",ChIJgxlFJLG3t4kRE14JVcFYrbo,20037
25,38.9045394,-77.04383279999999,DC Internal Medicine,"1120 19th Street Northwest #200, Washington",ChIJUUIrNbi3t4kRbhaU54STZcc,20036
26,38.9027843,-77.0457517,Children's Pediatricians-Associates,"2021 K Street Northwest Suite 800, Washington",ChIJjZtb1La3t4kR1Sn7Z1sKMFw,20006
27,38.9060515,-77.0459261,Physician Hospitals of America,"2025 M Street Northwest #800, Washington",ChIJsf3rjre3t4kRc0VLqnt0ZSE,20036
28,38.9029031,-77.0476185,DaVita K Street Dialysis,"2131 K Street Northwest, Washington",ChIJeYte1La3t4kR3yXLQ-h6Oow,20037
29,38.90295680000001,-77.0457423,Fishman Allergy & Asthma,"2021 K Street Northwest #420, Washington",ChIJjZtb1La3t4kRKVLOkXuRMoc,20006
30,38.9032796,-77.0503664,Metropolitan Fine Needle Aspiration Services,"3 Washington Circle Northwest # 303, Washington",ChIJh1TErra3t4kRj6fO2mbutvQ,20037
31,38.8997799,-77.0503141,The International Institute for Robotic Surgery,"901 23rd Street Northwest, Washington",ChIJt_lVhJa3t4kRAI9YkIJm4q8,20038
32,38.9003884,-77.0457423,Cenrgy,"2020 Pennsylvania Avenue Northwest, Washington",ChIJ____L7u3t4kRDUGfdtgFHB8,20006
33,38.8989449,-77.0424273,"Kahoolawelawe, Kauai, HI","1818 H Street Northwest, Washington",ChIJ3xr5-7q3t4kRxGfgd5Ya7AE,20433
34,38.9029378,-77.0457333,MedStar Washington Hospital Center,"2021 K Street Northwest #520, Washington",ChIJD4VBRbe3t4kR-O-wgMzARgc,20006
35,38.90119180000001,-77.04851099999999,"Bindu Umapathi, MD MRCS","2150 Pennsylvania Avenue Northwest, Washington",ChIJg9ceGLG3t4kRXQU88wefzxs,20037
36,38.9027467,-77.04762579999999,The George Washington University Hospital,"2131 K Street Northwest, Washington",ChIJ696sKbe3t4kR-qy7lLG2_8o,20037
37,38.9028588,-77.0476549,"Cardiology Associates, LLC","2131 K Street Northwest #800, Washington",ChIJuVUBKbe3t4kRNQRUzVbm1Jg,20037
38,38.9044622,-77.0462819,MedStar Health at Lafayette Centre,"1133 21st Street Northwest, Washington",ChIJHVmLfre3t4kRuHqMhzmS8wY,20036
39,38.8989336,-77.0517241,"Dr. Violet Habwe, MD","730 24th Street Northwest suite 17, Washington",ChIJh35sPbK3t4kRQbSSi-UaF5Y,20037
40,38.9016262,-77.044258,District Center for Integrative Medicine,"1915 I Street Northwest 7th Floor, Washington",ChIJGdi-7ZK3t4kRQv1RjJ37BfU,20006
41,38.90116939999999,-77.0485482,The George Washington University Heart & Vascular Institute,"4, 2150 Pennsylvania Avenue Northwest, Washington",ChIJg9ceGLG3t4kRrQR-QfYXNGQ,20037
42,38.9044622,-77.04628199999999,MedStar Medical Group at Lafayette,"Building 2, 6th Floor, 1133 21st Street Northwest, Washington",ChIJ43aZc7e3t4kRmWGvNpGuVNE,20036
43,38.9047077,-77.0459671,National Center Of Pelvic Surgery,"1133 21st Street Northwest 8th Floor, Washington",ChIJ43aZc7e3t4kRvLo005kn-84,20036
44,38.90320539999999,-77.04881089999999,華聖頓教學醫院,"1025 22nd Street Northwest, Washington",ChIJaWFez7a3t4kRAcVcPtECssY,20037
45,38.901261,-77.05074119999999,George Washington Hospital,"900 23rd Street Northwest, Washington",ChIJOR5D37O3t4kRchCf9cxamiY,20037
46,38.90556459999999,-77.0507346,"Capital Cardiovascular Specialists, PLLC","2311 M Street Northwest #101, Washington",ChIJZ7qL0ba3t4kRjKX5kUl_Cns,20037
47,38.90556459999999,-77.0507346,Acupuncture and Herbal Healing Center,"2311 M Street Northwest, Washington",ChIJc_1qgLa3t4kRkHMoT7U0KL8,20037
48,38.9054076,-77.05034049999999,Northwest D.C. Medical Office Building | Kaiser Permanente,"2301 M Street Northwest, Washington",ChIJ1RZufra3t4kRy_0CT54hrH4,20037
49,38.9050022,-77.05073469999999,Gw Orthopaedic,"2300 M Street Northwest, Washington",ChIJgeRRJOO2t4kRzEe89eTBFEU,20037
50,38.9121208,-77.04442279999999,Healthy Magic.inc,"1629 Connecticut Avenue Northwest, Washington",ChIJczrzBsa3t4kRwxgdCjGxeao,20009
51,38.90568469999999,-77.0503748,The Hospital,"2301 M Street Northwest, Washington",ChIJt1Z4f7a3t4kRNrfQAgG-0iQ,20037
52,38.9049024,-77.0507387,GW Oncology,"2300 M Street Northwest, Washington",ChIJYUdY6NK3t4kRJlzGy1RKXaQ,20037
53,38.9049024,-77.0507387,George Washington Medical Building,"2300 M Street Northwest, Washington",ChIJL-LNKbS3t4kROedRV00xgFQ,20037
54,38.9049024,-77.0507387,The GW Medical Faculty Associates,"2300 M Street Northwest, Washington",ChIJL-LNKbS3t4kRnVX6smCmCcM,20037
55,38.9028856,-77.0633271,Indigo Integrative Health Clinic,"1010 Wisconsin Avenue Northwest Suite 660, Washington",ChIJv8P7ok62t4kRnctvjQWY20Y,20007
56,38.9050033,-77.05296059999999,PandA Pediatrics,"2440 M Street Northwest #422, Washington",ChIJHypyULS3t4kR_0trC4HvDlk,20037
57,38.906096,-77.05257999999999,GWUH,"900 23rd Street Northwest, Washington",ChIJm5r3gf-3t4kRml-7ljw9rIU,20037
58,38.92950039999999,-77.0144985,Washington Hospital Center Outpatient,"110 Irving Street Northwest, Washington",ChIJl2mbSgHIt4kR4UHjW8mPTHs,20010
59,38.9296835,-77.0137124,Center For Vein Restoration,"106 Irving Street Northwest, Washington",ChIJdSfUKAHIt4kRbzOrUUJ58p8,20010
60,38.9296836,-77.0137124,Cardiology Associates,"106 Irving Street Northwest #2700, Washington",ChIJl2mbSgHIt4kRNS5BZC6nF_g,20010
61,38.92950039999999,-77.0144985,Neuroscience Institute,"110 Irving Street Northwest, Washington",ChIJl2mbSgHIt4kR30iNzlATw4E,20010
62,38.929543,-77.013673,Wa Hospital Center,"106 Irving Street Northwest # 314S, Washington",ChIJdSfUKAHIt4kREalMYqAqbmc,20010
63,38.9289408,-77.0098896,Washington DC VA Medical Center,"50 Irving Street Northwest, Washington",ChIJd1xuEgfIt4kRbNCiupRljTM,20422
64,38.9272018,-77.0153609,Children's National Medical Nphlgy,"111 Michigan Avenue Northwest, Washington",ChIJWyr-mAHIt4kRovv1RlbnwRM,20010
65,38.927204,-77.0146922,Childrens National Medical Center Emr,"111 Michigan Avenue Northwest, Washington",ChIJWyr-mAHIt4kRBzuNBvF97bw,20010
66,38.927202,-77.0153612,Childrens National Medical Center Ors,"111 Michigan Avenue Northwest, Washington",ChIJWyr-mAHIt4kRXXSUdd48adU,20010
67,38.9272018,-77.0153612,Childrens National Medical Center Neurology,"111 Michigan Avenue Northwest, Washington",ChIJWyr-mAHIt4kRvlroysM6S94,20010
68,38.92950039999999,-77.0144985,Washington Hospital,"110 Irving Street Northwest, Washington",ChIJX6i9osHHt4kRWyQKlusS6Ns,20010
69,38.92950039999999,-77.0144985,"Tolawak Beyene, MD | Kaiser Permanente","110 Irving Street Northwest, Washington",ChIJCdjQNAHIt4kRhp8CQB5Haak,20010
70,38.92950039999999,-77.0144985,ADAM PAUL MCKEOWN D.O.,"110 Irving Street Northwest, Washington",ChIJCdjQNAHIt4kRgb2qY9a_oEE,20010
71,38.9292312,-77.0138115,MedStar Medical Group at MedStar Washington Hospital Center,"106 Irving Street Northwest #4200, Washington",ChIJ9Zu0LQHIt4kRxOt3dj4EiyU,20010
72,38.9287786,-77.01432109999999,MedStar Washington Hospital Center,"110 Irving Street Northwest, Washington",ChIJCdjQNAHIt4kREmnylds002o,20010
73,38.92715,-77.01139300000001,Veterans Administration,Washington,ChIJs0BpjgDIt4kR6KkPqXT41I4,20310
74,38.9271398,-77.0152078,Chldrns Nat Medical Center Outptnt Psy,"111 Michigan Avenue Northwest, Washington",ChIJWyr-mAHIt4kRA_1qs_oLshU,20010
75,38.9311643,-77.0120604,Adam Sean Younoszai,"50 Irving Street Northwest, Washington",ChIJ0-viiv3Ht4kRGqGQudFcHFI,20422
76,38.92950039999999,-77.0144985,"Haroon Rashid, MD | Kaiser Permanente","110 Irving Street Northwest, Washington",ChIJl2mbSgHIt4kRMDrRolCP-hg,20010
77,38.9297371,-77.0145114,Washington medical center,"110 Irving Street Northwest, Washington",ChIJx6YxcokBt4kRPWKOn51d8co,20010
78,38.9294434,-77.0147266,医院,"110 Irving Street Northwest, Washington",ChIJrWKbSgHIt4kRC7h6Gh8ZIak,20010
79,38.9290521,-77.014524,MedStar Physicians Parking,"106 Irving Street Northwest suite 2400 n, Washington",ChIJK1XTKMvJt4kRetN9nhO7Kos,20010
80,38.9289454,-77.0148509,The Burn Center at MedStar Washington Hospital Center,"110 Irving Street Northwest, Washington",ChIJLyhL4gPIt4kRNFUBDqT8ES4,20010
81,38.9289809,-77.0101115,VA,"50 Irving Street Northwest, Washington",ChIJGwuuFPvHt4kRq_jC5JmcmG4,20310
82,38.9412199,-77.010114,Soldiers Home,Washington,ChIJ9ZwB2uHHt4kRv4HxXGRh6_s,20011
83,38.9274401,-77.0154017,Children's National Medical Center,Washington,ChIJfVG2cAHIt4kRSIJVYmlw6o4,20310
84,38.92712669999999,-77.014524,مستشفى الاطفال واشنطن,Washington,ChIJYfrcPz_Jt4kRnASudJqtDWw,20310
85,39.00406329999999,-77.1011249,National Heart Lung & Blood Institute,"31 Center Drive, Bethesda",ChIJcVIMWOLLt4kRW85PQkPOXvM,20892
86,39.00480379999999,-77.1083027,"Cedar Lane Medical Center, LLC","5413 West Cedar Lane # 203C, Bethesda",ChIJ6TngfOPLt4kR56wGzJPyXH0,20814
87,39.0025272,-77.1043789,NIH Clinical Center,"10 Center Drive, Bethesda",ChIJ_TjTWuLLt4kRyN2X1xMC5f0,20814
88,39.0030066,-77.09444529999999,Murtha Cancer Center,"4494 Palmer Road North, Bethesda",ChIJMz0vUlrJt4kReVZ4MK6BXpY,20814
89,38.9996037,-77.0964446,Walter Reed National Military Medical Center,"104 Wood Road, Bethesda",ChIJuwa-HFzJt4kRwcSeUDrEDWk,20814
90,39.00158089999999,-77.09387269999999,Walter Reed National Military Medical Center,"8901 Rockville Pike, Bethesda",ChIJ1zOx2ETJt4kRtILqaQsCY9c,20889
91,39.0045339,-77.1021908,NHLBI Scientific Information Office,"8, North Drive, Bethesda",ChIJA3YadFjJt4kRMuaOoYcvcC0,20892
92,39.0035707,-77.1013313,Hospital,"31 Center Drive, Bethesda",ChIJ4bsCVBHJt4kR1WfkVVmZrco,20894
93,39.002793,-77.1044931,Hatfield Center,"10 Center Drive, Bethesda",ChIJHVd4R-LLt4kRaElnnyIKJLI,20814
94,39.0014433,-77.1046173,Magnuson Center,"10 Center Drive, Bethesda",ChIJGxJ5iuHLt4kRaJfffL8zYgE,20814
95,39.00302140000001,-77.1070886,NIH Northwest Child Care Center,Bethesda,ChIJhQNSyXTLt4kRI9Q1mxjKzyM,20814
96,39.0083306,-77.09637599999999,医院,Bethesda,ChIJq6qqLlHJt4kRosqH2Iy3fyk,20889
97,39.00466160000001,-77.09362329999999,Solace Hall,"Palmer Road North, Bethesda",ChIJt7X3hlrJt4kRq7QsC9XCsRI,20814
98,38.9994706,-77.1052352,NIH national dental and cranialfacial research building 30,"South Drive, Bethesda",ChIJNyO4p-HLt4kRNusliUF1eVI,20894
99,39.00184350000001,-77.09425089999999,President Zone,"Wood Road, Bethesda",ChIJhSjTpVvJt4kRdpyyCE4QaUo,20814
100,39.0023167,-77.0937792,Bldg 2 - ITT Tickets & Travel,Bethesda,ChIJmY9yuTHJt4kRYs0_7kRyEyg,20814
101,39.0047116,-77.0927435,Comfort Hall,"Beale Road, Bethesda",ChIJh-ZSmVrJt4kRwFr4WjPGScI,20814
102,39.00004500000001,-77.094759,Water Reed,"4494 Palmer Road North, Bethesda",ChIJIWgx7SXJt4kRSQHlquwUoUY,20889
103,39.0007262,-77.09383249999999,Arrowhead Zone,"Palmer Road South, Bethesda",ChIJyW3kd1vJt4kRH4Is3K4mVFk,20814
104,39.00157929999999,-77.0928686,Liberty Zone,"R B Brown Drive, Bethesda",ChIJczurGlvJt4kRKMRi6h42Km8,20814
105,39.00039090000001,-77.09363739999999,WRNNMC- Hospital Dentistry,"8901 Rockville Pike, Washington",ChIJZ1kjeVvJt4kRR1tScekVo-g,20307
106,39.0007671,-77.0929883,WRNMMC Dialysis Clinic,Bethesda,ChIJjR5RblvJt4kR5-vPGSvdw5I,20814
107,38.99997999999999,-77.0935214,Eagle Zone,"Palmer Road South, Bethesda",ChIJFR78gVzJt4kR3ROjhDXT9W4,20814
108,39.0074852,-77.111908,Bethesda Spinal Health and Wellness.,"9211 Old Georgetown Road, Bethesda",ChIJBwDkzfrLt4kRSCGsCTACTI8,20814
109,38.9994255,-77.0928186,Mercy Hall,"Palmer Road South, Bethesda",ChIJ2aEtmlzJt4kR73c5hVhnEm0,20814
110,38.9977032,-77.0949141,Hospital Militar EU,"Unnamed Road, Bethesda",ChIJ_V6bTFzJt4kRWZzh_hZNUF4,20814
111,38.9174836,-77.0203695,Howard University Hospital,"2041 Georgia Avenue Northwest, Washington",ChIJJ6Ro_YnIt4kR8PGm7QmLLNQ,20059
112,38.9003854,-77.018258,Zen Hospitality,"450 Massachusetts Avenue Northwest, Washington",ChIJPWxuSIy3t4kRtLDyn3xtBCU,20001
113,38.900632,-77.006959,DaVita Union Plaza Dialysis Center,"810 First Street Northeast Ste 100, Washington",ChIJPz79qCG4t4kRVxrJcbSmC4g,20002
114,38.918806,-77.021577,Student Health Center @ Howard University,"2139 Georgia Avenue Northwest #201, Washington",ChIJ442QSvu3t4kRaZhgxnaQ01Q,20059
115,38.90533000000001,-77.012867,Perry Family Health Center,"128 M Street Northwest, Washington",ChIJIR2-4vS3t4kRe_4jXDTII-Y,20001
116,38.89446660000001,-77.02349,Fresenius Medical Care,"801 Pennsylvania Avenue Northwest #255, Washington",ChIJURiPvZq3t4kRrlUINtMRHY4,20004
117,38.898431,-77.0104605,American College Of Physicians,"25 Massachusetts Avenue Northwest # 700, Washington",ChIJnXMP_4m3t4kRNphCgdT31R8,20001
118,38.90746000000001,-77.0205575,New Endeavors By Women,"611 N Street Northwest, Washington",ChIJt-xqZ_K3t4kREeBX9AGED50,20001
119,38.9189687,-77.0201763,Howard University Hospital,"520 W Street Northwest, Washington",ChIJwx3Ubvu3t4kRFBxZHa7EYos,20059
120,38.9174916,-77.0200653,Howard University Hospital | Medicine,"2041 Georgia Avenue Northwest #5, Washington",ChIJg6ctHPu3t4kRkqo35sq7Y6Q,20060
121,38.9175229,-77.01998870000001,Howard University Hospital | Surgery,"2041 Georgia Avenue Northwest #4000, Washington",ChIJg6ctHPu3t4kR8FXim5sMLac,20060
122,38.90630520000001,-77.0002943,Planned Parenthood - Carol Whitehill Moses Center,"1225 4th Street Northeast, Washington",ChIJ-730CIj1qYkRkdbr6vOZ_xI,20002
123,38.8991941,-77.00368139999999,Kaiser Permanente Capitol Hill Medical Center,"700 2nd Street Northeast, Washington",ChIJARoQ0CO4t4kRwSXC_CGx_II,20002
124,38.8938413,-77.0203724,Matria Womens & Childrens Health,"601 Pennsylvania Avenue Northwest, Washington",ChIJJT16aoW3t4kRZrgnrHyLtF4,20004
125,38.8927259,-77.0131597,Triwest Healthcare Alliance,"101 Constitution Avenue Northwest, Washington",ChIJL0wn0oe3t4kRXOM6fQbYIC4,20001
126,38.9083047,-77.0094282,Captial City Care,"capital city care washing, Washington",ChIJ1R27CR64t4kRYA610CMa4w0,20001
127,38.9175305,-77.02044169999999,Howard University Health Sciences,"2041 Georgia Avenue Northwest, Washington",ChIJazF_H_u3t4kRaWF3wmFFOqE,20060
128,38.9177589,-77.019421,Howard University Hospital | Pediatrics and Child Health,"Towers Building, 2041 Georgia Avenue Northwest #3300, Washington",ChIJa7TRBfu3t4kRIfz5HvL4tjQ,20060
129,38.9066821,-77.00627399999999,sibley memorial hospital,"5255 Loughboro Road Northwest, Washington",ChIJyVi2lQe5t4kRgZV5ZRn0w14,20016
130,38.8991227,-77.0081512,New Alibi,"10 G Street Northwest, Washington",ChIJI2nf3CC4t4kRA_-FquDgxVo,20001
131,38.89693500000001,-77.01339209999999,Georgetown University Student Health Center-- Law Campus,"Gewirz Student Center, 120 F Street, NW, Lower Level Suite LL102, Washington",ChIJZTm4R8-3t4kRq6jlCbc3R_c,20001
132,38.9159827,-77.0343947,George Town Hositpal,Washington,ChIJkwSr8Zy3t4kRYgfy0Ca_lEM,20009
133,38.8969294,-77.0099516,Powered For Patients,"20 F Street Northwest, Washington",ChIJq6paZye4t4kRlF2PoHjo_ZI,20001
134,38.8995402,-77.0039961,DC Kaiser hospitol,Washington,ChIJ7REBBny5t4kRdCq5gihwXZc,20002
135,38.8928299,-77.0231337,bridge point healthcare,"700 Constitution Avenue Northwest, Washington",ChIJm-exw5q3t4kRvqovxOQDZK8,20004
136,38.8867454,-77.010115,Representative Al Green,"2201 Rayburn Hob, Washington",ChIJcXgIzyu4t4kRJaTKoYfucmg,20515
137,38.89324860000001,-77.0294407,Kan Nari,"1200 Pennsylvania Avenue Northwest, Washington",ChIJv9tgo5m3t4kRKMBQxP3wBvg,20044
138,38.9192651,-77.04903829999999,washington cancer treatment center,"Belmont Road Northwest, Washington",ChIJT6-FwNG3t4kR5orU7_w6BSA,20008
139,38.9226114,-77.04329969999999,MedStar Medical Group at Adams Morgan,"1805 Columbia Road Northwest Suite A, Washington",ChIJH1JXPky3t4kR5XMONT7UWus,20009
140,38.9156417,-77.0454274,ZANO,"1875 Connecticut Avenue Northwest 10th Floor, Washington",ChIJAQCQhc-3t4kRpPwl_oeq6aA,20009
141,38.939193,-77.02542369999999,Mary's Center,"3912 Georgia Avenue Northwest, Washington",ChIJf9Rg8tu3t4kRprTbSxlXNmM,20011
142,38.9431184,-77.02599819999999,Mary's center,"4302 Georgia Avenue Northwest, Washington",ChIJL7L0_SHJt4kRtnDVw9lXe2k,20011
143,38.94554540000001,-77.032403,Ethio American Health Center,"4515 14th Street Northwest, Washington",ChIJnZZ9aBXIt4kRDYOLxNm4438,20011
